ID,Country,ISO3,Inward,Outward
140,Laos,LAO,0.0,0.0
141,Madagascar,MDG,0.0,0.0
142,Maldives,MDV,0.0,4347.0
143,Namibia,NAM,4575929.0,907267207.0
144,Nepal,NPL,0.0,130739994.0
145,New Caledonia,NCL,0.0,546655628.0
146,"Korea, Dem. People's Rep. of",PRK,199946841.0,4384000.0
147,Qatar,QAT,6253426402.0,12347676309.0
149,Samoa,WSM,0.0,276874481.0
150,Suriname,SUR,0.0,0.0
151,Yemen,YEM,0.0,0.0
152,Turks and Caicos Islands,TCA,0.0,1416590215.0
153,Senegal,SEN,0.0,0.0
154,Kazakhstan,KAZ,531296116.0,221493030.0
155,Chad,TCD,0.0,0.0
156,Cape Verde,CPV,0.0,0.0
157,Sudan,SDN,0.0,0.0
158,Afghanistan,AFG,0.0,0.0
159,American Samoa,ASM,0.0,0.0
160,Angola,AGO,0.0,766795534.0
161,Antartics,ATA,0.0,0.0
162,Armenia,ARM,0.0,0.0
163,Azerbaijan,AZE,0.0,0.0
164,Benin,BEN,0.0,0.0
165,Bhutan,BTN,0.0,0.0
166,Bosnia & Herzegovina,BIH,0.0,247.0
167,Bouvet Island,BVT,0.0,0.0
168,British Territory Ind. Ocean,IOT,0.0,0.0
169,Brunei Darussalam,BRN,0.0,107136259.0
170,Burkina Faso,BFA,0.0,12957.0
171,Burundi,BDI,0.0,0.0
172,Cambodia,KHM,0.0,0.0
173,Christmas Island,CXR,0.0,0.0
174,Cocos (Keeling) Islands,CCK,0.0,0.0
175,Comoros,COM,0.0,0.0
176,"Congo, Republic of the",COG,0.0,14121788.0
177,Djibouti,DJI,0.0,0.0
178,Dominican Republic,DOM,0.0,0.0
179,Timor-Leste,TLS,0.0,0.0
180,Equatorial Guinea,GNQ,0.0,0.0
181,Eritrea,ERI,0.0,0.0
182,Ethiopia,ETH,0.0,0.0
183,Faroe Islands,FRO,0.0,364722500.0
184,France Metropolitan,FRA,0.0,0.0
185,French Antilles,FRA,0.0,0.0
186,French Guiana,GUF,0.0,0.0
187,French Polynesia,PYF,0.0,0.0
188,French Southern Territories,ATF,0.0,0.0
189,Gambia,GMB,0.0,0.0
190,Georgia,GEO,0.0,132292396.0
191,Greenland,GRL,0.0,89135147.0
192,Grenada,GRD,0.0,226.0
193,Guadeloupe,GLP,0.0,0.0
194,Guam,GUM,0.0,0.0
195,Guinea Bissau,GNB,0.0,0.0
196,Guyana,GUY,0.0,0.0
197,Heard Island and McDonald Islands,HMD,0.0,0.0
198,Holy See (Vatican City State),VAT,0.0,0.0
199,Honduras,HND,0.0,0.0
200,Iraq,IRQ,0.0,71388.0
201,Kiribati,KIR,0.0,0.0
202,Kyrgyzstan,KGZ,0.0,310785445.0
203,Macau,MAC,19480115.0,725110849.0
204,Macedonia,MKD,0.0,0.0
205,Mali,MLI,0.0,750130.0
206,Marshall Islands,MHL,0.0,414533065.0
207,Martinique,MTQ,0.0,46752345.0
208,Mauritania,MRT,0.0,24743648.0
209,Mayotte,MYT,0.0,0.0
210,Micronesia,FSM,0.0,0.0
211,Moldova,MDA,0.0,0.0
212,Mongolia,MNG,0.0,460400102.0
213,Montserrat,MSR,0.0,0.0
214,Mozambique,MOZ,0.0,373290.0
215,Nauru,NRU,0.0,0.0
216,Nicaragua,NIC,0.0,0.0
217,Niger,NER,0.0,0.0
218,Niue,NIU,0.0,0.0
219,Norfolk Island,NFK,0.0,0.0
220,Northern Mariana Islands,MNP,0.0,19991353.0
221,Palau,PLW,0.0,0.0
222,Pitcairn,PCN,0.0,0.0
223,Reunion,REU,0.0,0.0
224,Rwanda,RWA,0.0,0.0
225,San Marino,SMR,0.0,1990070.0
226,Sao Tome & Principe,STP,0.0,0.0
227,Sierra Leone,SLE,0.0,0.0
228,Solomon Islands,SLB,0.0,132942.0
229,Somalia,SOM,0.0,262726.0
230,South Georgia and South Sandwich Islands,SGS,0.0,2477.0
231,Soviet Union,SUN,0.0,0.0
232,St. Helena,SHN,0.0,0.0
233,St. Kitts and Nevis,KNA,0.0,45612819.0
234,St. Lucia,LCA,0.0,10097998.0
235,St. Pierre and Miquelon,SPM,0.0,0.0
236,St. Vincent and the Grenadines,VCT,0.0,9802512.0
237,Svalbard and Jan Mayen,SJM,0.0,0.0
238,Syria,SYR,0.0,906245776.0
239,Tajikistan,TJK,0.0,1925820.0
240,Tokelau,TKL,0.0,0.0
241,Tonga,TON,0.0,0.0
242,Turkmenistan,TKM,0.0,0.0
243,Tuvalu,TUV,0.0,0.0
244,United States Minor Outlaying,USA,0.0,94323705.0
245,Uzbekistan,UZB,0.0,0.0
246,Wallis and Futuna,WLF,0.0,0.0
247,West Indian States,IND,0.0,0.0
248,Western Sahara,ESH,0.0,0.0
249,England,GBR,1313577286319.0,3829025341540.0
250,Northern Ireland,GBR,0.0,201649856.0
251,Scotland,GBR,125845154650.0,321158586860.0
252,Wales,GBR,5392149763.0,258214762.0
253,West Indies (British),GBR,0.0,0.0
254,West Indies (French),FRA,0.0,0.0
255,Channel Islands,GBR,0.0,246037093.0
256,Serbia,SRB,0.0,99917.0
258,Republic of Kosovo,XKX,0.0,0.0
259,Montenegro,MNE,0.0,0.0
282,・・and Islands,,0.0,0.0
283,"Bonaire, St. Eustatius and Saba",BES,0.0,0.0
284,Curacao,CUW,0.0,1852535469.0
285,Palestinian Territories,PSE,0.0,0.0
286,Sint Maarten,SXM,0.0,0.0
287,Saint Barthelemy,BLM,0.0,560416.0
288,Saint Martin,MAF,0.0,0.0
289,Sudan (South),SSD,0.0,0.0
0,,,14995953671127.0,11664308656.0
