ID,Country,ISO3,2007,2012,2017,2017/2007
1,United Kingdom,GBR,405922126948,330924795463,361133148222,0.8896611548
2,Australia,AUS,498247648746,409283937283,490551416208,0.9845533992
3,Bermuda,BMU,86184694896,123672992631,135360412083,1.570585267
4,Canada,CAN,778037158463,740098538018,813169062693,1.045154533
5,Cayman Islands,CYM,2996671254,4546030953,6246781000,2.084573338
6,Ireland,IRL,181053084188,210434927979,361018861940,1.993994543
7,Finland,FIN,188321456278,78010774252,124012240929,0.6585136042
8,France,FRA,1490258565092,1049609686314,1343919418496,0.9018028482
9,Greece,GRC,63567952171,10214896032,18556089680,0.2919095086
10,Hong Kong SAR,HKG,587061629817,578532072171,818943141659,1.394986659
11,Italy,ITA,427883797337,223791823604,299016614466,0.6988266822
12,Japan,JPN,2713876429477,2261524337710,3843091451879,1.416089329
13,Luxembourg,LUX,143350445701,79826663540,75591575741,0.5273201305
14,Malaysia,MYS,92467718191,235107440246,231033345657,2.498529759
15,New Zealand,NZL,5785170269,8994217943,19488110963,3.368632219
16,Poland,POL,77802635161,95175872987,100309350552,1.289279603
17,South Africa,ZAF,294283414244,318830534965,328820631559,1.117360394
18,Singapore,SGP,222087291734,245006301977,241904612632,1.089232125
19,"Taiwan, R.O.C.",TWN,319151786495,372883864478,578496439136,1.812605988
20,Thailand,THA,55755585747,175153046862,257704318244,4.622035887
21,United States,USA,10054709169040,9097493809366,15945469357140,1.585870769
22,Denmark,DNK,119263633128,117615500810,171237189184,1.435787127
23,Norway,NOR,230619568160,178680295649,203036950118,0.8803977552
24,Portugal,PRT,70827890938,35503046604,41197141440,0.5816513932
25,Spain,ESP,472655991949,212326963082,272687572868,0.576926089
26,Sweden,SWE,289177481510,292859402685,428855644485,1.48301881
27,Austria,AUT,140437411450,64727354639,92258458641,0.6569364793
28,Belgium,BEL,230177132710,215470963090,164315012703,0.7138633224
29,Germany,DEU,1020161927322,750549544750,1100339495997,1.078592983
30,Netherlands,NLD,383040441677,229417737169,378226969439,0.9874335143
31,Switzerland,CHE,468474425986,500075461758,832918582065,1.777938209
32,Cyprus,CYP,2328405816,595742860,830936950,0.3568694702
33,Israel,ISR,107545262005,85986460570,103211542527,0.959703297
34,Russian Federation,RUS,473985650033,412632435674,352614180130,0.7439342944
35,Malta,MLT,1066910208,1889292622,3721371961,3.487989836
36,Hungary,HUN,23756062068,18223578810,20848003178,0.8775866605
37,Turkey,TUR,55164843143,101924701015,70000293862,1.268929446
38,Bulgaria,BGR,2542498583,658547534,1136733898,0.4470932277
39,Czech Republic,CZE,45471525355,23700130311,21016786160,0.4621966384
40,Slovakia,SVK,4535778164,2628322334,4292346334,0.9463307461
41,Lithuania,LTU,902474992,335965598,204839332,0.2269750783
42,Slovenia,SVN,7841035653,3228369384,3663253827,0.4671900485
43,Argentina,ARG,24873040736,14829469774,19848491405,0.7979921561
44,Brazil,BRA,2439047328610,691368055265,654933754313,0.2685203139
45,Belarus,BLR,0,0,0,#DIV/0!
46,Chile,CHL,95281154074,178144779535,156860655093,1.64629256
47,China,CHN,2568233525963,2107025436600,3936103632134,1.532611265
48,Colombia,COL,34829148590,221348437586,87330951940,2.507409899
49,Ecuador,ECU,0,0,0,#DIV/0!
50,European Zone,,0,0,0,#DIV/0!
51,Egypt,EGY,3514291196,10264207189,10538823179,2.998847446
52,Estonia,EST,349436129,62539111,87217480,0.2495949124
53,Guatemala,GTM,0,0,0,#DIV/0!
54,India,IND,587792601625,504971036613,894251677836,1.521372803
55,Kenya,KEN,599993,296101,255328702,425.5528014
56,Kuwait,KWT,45569884062,32725879675,29995402745,0.6582286385
57,Latvia,LVA,527758937,184071081,63630833,0.1205679877
58,Lebanon,LBN,852444011,1099057903,2778948712,3.259977988
59,Mexico,MEX,150554006853,201556382930,97896210490,0.6502398212
60,Morocco,MAR,19174904139,21947135503,22272774341,1.161558576
61,Pakistan,PAK,103625286,1349329829,906268098,8.745626989
62,Panama,PAN,411991509,292508587,386437729,0.9379749838
63,Paraguay,PRY,0,0,0,#DIV/0!
64,Peru,PER,105106196454,125440069589,91808732881,0.8734854459
65,Philippines,PHL,19034645265,102844977792,114095384990,5.994090428
66,Saudi Arabia,SAU,40369437966,33372469361,36550007100,0.9053880594
67,"Korea, Rep. (South)",KOR,548081183473,719265926966,1020012968945,1.861061828
68,Tanzania,TZA,0,1634878,1178077567,#DIV/0!
69,Tunisia,TUN,3179882,145735275,1188049295,373.6142709
70,United Arab Emirates,ARE,20079594977,28539608985,56505620297,2.814081677
71,Ukraine,UKR,0,25737,0,#DIV/0!
72,Uruguay,URY,0,0,0,#DIV/0!
73,Venezuela,VEN,0,0,0,#DIV/0!
74,Vietnam,VNM,192641566,20022925446,48982806175,254.2691445
75,Zambia,ZMB,0,0,77982,#DIV/0!
76,Gibraltar,GIB,1830452485,1171020108,0,0
77,Monaco,MCO,627095788,8894563906,2266452962,3.614205366
78,Iceland,ISL,10094362411,1383384984,1912801927,0.1894920996
79,Nether. Antilles,CUW,0,0,0,#DIV/0!
80,Romania,ROU,589176311,453423518,912987075,1.549599089
81,Aruba,ABW,0,0,0,#DIV/0!
82,Bahamas,BHS,0,0,0,#DIV/0!
83,Bahrain,BHR,7557769750,8697061478,10461786341,1.384242533
84,Bangladesh,BGD,8344636,727845,49339445,5.912713868
85,Barbados,BRB,0,1958068,13070804,#DIV/0!
86,Belize,BLZ,0,0,0,#DIV/0!
87,Bolivia,BOL,0,0,0,#DIV/0!
88,Botswana,BWA,0,0,0,#DIV/0!
